Time,Constant,Linear growth,Geometric growth,Logistic Growth,Decreasing,Triangular
2000,10,0,0.1,0.024726232,10,0
2001,10,0.2,0.11,0.040701377,9.8,0.4
2002,10,0.4,0.121,0.066928509,9.6,0.8
2003,10,0.6,0.1331,0.109869426,9.4,1.2
2004,10,0.8,0.14641,0.1798621,9.2,1.6
2005,10,1,0.161051,0.293122308,9,2
2006,10,1.2,0.1771561,0.474258732,8.8,2.4
2007,10,1.4,0.19487171,0.7585818,8.6,2.8
2008,10,1.6,0.214358881,1.19202922,8.4,3.2
2009,10,1.8,0.235794769,1.824255238,8.2,3.6
2010,10,2,0.259374246,2.689414214,8,4
2011,10,2.2,0.285311671,3.775406688,7.8,4.4
2012,10,2.4,0.313842838,5,7.6,4.8
2013,10,2.6,0.345227121,6.224593312,7.4,5.2
2014,10,2.8,0.379749834,7.310585786,7.2,5.6
2015,10,3,0.417724817,8.175744762,7,6
2016,10,3.2,0.459497299,8.80797078,6.8,6.4
2017,10,3.4,0.505447028,9.2414182,6.6,6.8
2018,10,3.6,0.555991731,9.525741268,6.4,7.2
2019,10,3.8,0.611590904,9.706877692,6.2,7.6
2020,10,4,0.672749995,9.8201379,6,8
2021,10,4.2,0.740024994,9.890130574,5.8,8.4
2022,10,4.4,0.814027494,9.933071491,5.6,8.8
2023,10,4.6,0.895430243,9.959298623,5.4,9.2
2024,10,4.8,0.984973268,9.975273768,5.2,9.6
2025,10,5,1.083470594,9.984988177,5,10
2026,10,5.2,1.191817654,9.990889488,4.8,9.6
2027,10,5.4,1.310999419,9.994472214,4.6,9.2
2028,10,5.6,1.442099361,9.996646499,4.4,8.8
2029,10,5.8,1.586309297,9.99796573,4.2,8.4
2030,10,6,1.744940227,9.998766054,4,8
2031,10,6.2,1.91943425,9.999251538,3.8,7.6
2032,10,6.4,2.111377675,9.999546021,3.6,7.2
2033,10,6.6,2.322515442,9.999724643,3.4,6.8
2034,10,6.8,2.554766986,9.999832986,3.2,6.4
2035,10,7,2.810243685,9.9998987,3,6
2036,10,7.2,3.091268053,9.999938558,2.8,5.6
2037,10,7.4,3.400394859,9.999962734,2.6,5.2
2038,10,7.6,3.740434344,9.999977397,2.4,4.8
2039,10,7.8,4.114477779,9.99998629,2.2,4.4
2040,10,8,4.525925557,9.999991685,2,4
2041,10,8.2,4.978518112,9.999994957,1.8,3.6
2042,10,8.4,5.476369924,9.999996941,1.6,3.2
2043,10,8.6,6.024006916,9.999998145,1.4,2.8
2044,10,8.8,6.626407608,9.999998875,1.2,2.4
2045,10,9,7.289048369,9.999999317,1,2
2046,10,9.2,8.017953205,9.999999586,0.8,1.6
2047,10,9.4,8.819748526,9.999999749,0.6,1.2
2048,10,9.6,9.701723378,9.999999848,0.4,0.8
2049,10,9.8,10.67189572,9.999999908,0.2,0.4
2050,10,10,11.73908529,9.999999944,4.09E-14,0
